"Step","deit3_huge_patch14_224 - train robustness - Train Loss","deit3_huge_patch14_224 - train robustness - Train Loss__MIN","deit3_huge_patch14_224 - train robustness - Train Loss__MAX","openclip_vitl14 - train robustness - Train Loss","openclip_vitl14 - train robustness - Train Loss__MIN","openclip_vitl14 - train robustness - Train Loss__MAX","openclip_vith14 - train robustness - Train Loss","openclip_vith14 - train robustness - Train Loss__MIN","openclip_vith14 - train robustness - Train Loss__MAX","openclip_vitb16 - train robustness - Train Loss","openclip_vitb16 - train robustness - Train Loss__MIN","openclip_vitb16 - train robustness - Train Loss__MAX","deit3_large_patch16_224 - train robustness - Train Loss","deit3_large_patch16_224 - train robustness - Train Loss__MIN","deit3_large_patch16_224 - train robustness - Train Loss__MAX","deit3_base_patch16_224 - train robustness - Train Loss","deit3_base_patch16_224 - train robustness - Train Loss__MIN","deit3_base_patch16_224 - train robustness - Train Loss__MAX"
"25","1.625105381011963","1.625105381011963","1.625105381011963","1.7485156059265137","1.7485156059265137","1.7485156059265137","1.704345464706421","1.704345464706421","1.704345464706421","1.7250967025756836","1.7250967025756836","1.7250967025756836","1.5683809518814087","1.5683809518814087","1.5683809518814087","1.5207151174545288","1.5207151174545288","1.5207151174545288"
"26","1.5494838953018188","1.5494838953018188","1.5494838953018188","1.7962918281555176","1.7962918281555176","1.7962918281555176","1.7294695377349854","1.7294695377349854","1.7294695377349854","1.6568281650543213","1.6568281650543213","1.6568281650543213","1.6163668632507324","1.6163668632507324","1.6163668632507324","1.4718509912490845","1.4718509912490845","1.4718509912490845"
"27","1.561887264251709","1.561887264251709","1.561887264251709","1.7927427291870117","1.7927427291870117","1.7927427291870117","1.7935600280761719","1.7935600280761719","1.7935600280761719","1.7050154209136963","1.7050154209136963","1.7050154209136963","1.6181614398956299","1.6181614398956299","1.6181614398956299","1.4740509986877441","1.4740509986877441","1.4740509986877441"
"28","1.5699577331542969","1.5699577331542969","1.5699577331542969","1.767356276512146","1.767356276512146","1.767356276512146","1.6874799728393555","1.6874799728393555","1.6874799728393555","1.6512165069580078","1.6512165069580078","1.6512165069580078","1.5929920673370361","1.5929920673370361","1.5929920673370361","1.4759526252746582","1.4759526252746582","1.4759526252746582"
"29","1.6070252656936646","1.6070252656936646","1.6070252656936646","1.8007690906524658","1.8007690906524658","1.8007690906524658","1.7735772132873535","1.7735772132873535","1.7735772132873535","1.7176568508148193","1.7176568508148193","1.7176568508148193","1.677746057510376","1.677746057510376","1.677746057510376","1.4865930080413818","1.4865930080413818","1.4865930080413818"
"30","1.5538709163665771","1.5538709163665771","1.5538709163665771","1.846527338027954","1.846527338027954","1.846527338027954","1.7682960033416748","1.7682960033416748","1.7682960033416748","1.7309863567352295","1.7309863567352295","1.7309863567352295","1.5708744525909424","1.5708744525909424","1.5708744525909424","1.5724211931228638","1.5724211931228638","1.5724211931228638"
"31","1.5754891633987427","1.5754891633987427","1.5754891633987427","1.8029506206512451","1.8029506206512451","1.8029506206512451","1.782923698425293","1.782923698425293","1.782923698425293","1.6683342456817627","1.6683342456817627","1.6683342456817627","1.6194645166397095","1.6194645166397095","1.6194645166397095","1.5537077188491821","1.5537077188491821","1.5537077188491821"
"32","1.6138499975204468","1.6138499975204468","1.6138499975204468","1.826887845993042","1.826887845993042","1.826887845993042","1.802411437034607","1.802411437034607","1.802411437034607","1.6576473712921143","1.6576473712921143","1.6576473712921143","1.626939058303833","1.626939058303833","1.626939058303833","1.5574140548706055","1.5574140548706055","1.5574140548706055"
"33","1.6204631328582764","1.6204631328582764","1.6204631328582764","1.777683973312378","1.777683973312378","1.777683973312378","1.7979724407196045","1.7979724407196045","1.7979724407196045","1.6432621479034424","1.6432621479034424","1.6432621479034424","1.5937094688415527","1.5937094688415527","1.5937094688415527","1.5064315795898438","1.5064315795898438","1.5064315795898438"
"34","1.5180037021636963","1.5180037021636963","1.5180037021636963","1.8434789180755615","1.8434789180755615","1.8434789180755615","1.7912949323654175","1.7912949323654175","1.7912949323654175","1.665989637374878","1.665989637374878","1.665989637374878","1.6302145719528198","1.6302145719528198","1.6302145719528198","1.577973484992981","1.577973484992981","1.577973484992981"
"35","1.5435900688171387","1.5435900688171387","1.5435900688171387","1.8121106624603271","1.8121106624603271","1.8121106624603271","1.7780165672302246","1.7780165672302246","1.7780165672302246","1.6825411319732666","1.6825411319732666","1.6825411319732666","1.6986193656921387","1.6986193656921387","1.6986193656921387","1.509063720703125","1.509063720703125","1.509063720703125"
"36","1.5451886653900146","1.5451886653900146","1.5451886653900146","1.8051903247833252","1.8051903247833252","1.8051903247833252","1.8080413341522217","1.8080413341522217","1.8080413341522217","1.8030903339385986","1.8030903339385986","1.8030903339385986","1.5777521133422852","1.5777521133422852","1.5777521133422852","1.5459494590759277","1.5459494590759277","1.5459494590759277"
"37","1.575339913368225","1.575339913368225","1.575339913368225","1.790860652923584","1.790860652923584","1.790860652923584","1.7434847354888916","1.7434847354888916","1.7434847354888916","1.7088322639465332","1.7088322639465332","1.7088322639465332","1.623615026473999","1.623615026473999","1.623615026473999","1.5511610507965088","1.5511610507965088","1.5511610507965088"
"38","1.5706965923309326","1.5706965923309326","1.5706965923309326","1.8136264085769653","1.8136264085769653","1.8136264085769653","1.7621257305145264","1.7621257305145264","1.7621257305145264","1.747553825378418","1.747553825378418","1.747553825378418","1.5690879821777344","1.5690879821777344","1.5690879821777344","1.5458825826644897","1.5458825826644897","1.5458825826644897"
"39","1.5328266620635986","1.5328266620635986","1.5328266620635986","1.7882041931152344","1.7882041931152344","1.7882041931152344","1.7064461708068848","1.7064461708068848","1.7064461708068848","1.738264799118042","1.738264799118042","1.738264799118042","1.6660130023956299","1.6660130023956299","1.6660130023956299","1.5420329570770264","1.5420329570770264","1.5420329570770264"
"40","1.5868974924087524","1.5868974924087524","1.5868974924087524","1.811064600944519","1.811064600944519","1.811064600944519","1.7859785556793213","1.7859785556793213","1.7859785556793213","1.741860032081604","1.741860032081604","1.741860032081604","1.4941037893295288","1.4941037893295288","1.4941037893295288","1.5520401000976562","1.5520401000976562","1.5520401000976562"
"41","1.5596572160720825","1.5596572160720825","1.5596572160720825","1.8091117143630981","1.8091117143630981","1.8091117143630981","1.780094027519226","1.780094027519226","1.780094027519226","1.7663836479187012","1.7663836479187012","1.7663836479187012","1.5637731552124023","1.5637731552124023","1.5637731552124023","1.5018500089645386","1.5018500089645386","1.5018500089645386"
"42","1.5716919898986816","1.5716919898986816","1.5716919898986816","1.7794468402862549","1.7794468402862549","1.7794468402862549","1.726024866104126","1.726024866104126","1.726024866104126","1.7427613735198975","1.7427613735198975","1.7427613735198975","1.6270478963851929","1.6270478963851929","1.6270478963851929","1.5575768947601318","1.5575768947601318","1.5575768947601318"
"43","1.6446092128753662","1.6446092128753662","1.6446092128753662","1.813042402267456","1.813042402267456","1.813042402267456","1.719437599182129","1.719437599182129","1.719437599182129","1.7837809324264526","1.7837809324264526","1.7837809324264526","1.6812901496887207","1.6812901496887207","1.6812901496887207","1.4515807628631592","1.4515807628631592","1.4515807628631592"
"44","1.5509450435638428","1.5509450435638428","1.5509450435638428","1.8246228694915771","1.8246228694915771","1.8246228694915771","1.8162132501602173","1.8162132501602173","1.8162132501602173","1.6897013187408447","1.6897013187408447","1.6897013187408447","1.6476304531097412","1.6476304531097412","1.6476304531097412","1.504404067993164","1.504404067993164","1.504404067993164"
"45","1.6380853652954102","1.6380853652954102","1.6380853652954102","1.831845760345459","1.831845760345459","1.831845760345459","1.8135554790496826","1.8135554790496826","1.8135554790496826","1.7784152030944824","1.7784152030944824","1.7784152030944824","1.5122954845428467","1.5122954845428467","1.5122954845428467","1.565545916557312","1.565545916557312","1.565545916557312"
"46","1.5604909658432007","1.5604909658432007","1.5604909658432007","1.861940622329712","1.861940622329712","1.861940622329712","1.7490395307540894","1.7490395307540894","1.7490395307540894","1.7902722358703613","1.7902722358703613","1.7902722358703613","1.5772004127502441","1.5772004127502441","1.5772004127502441","1.5143091678619385","1.5143091678619385","1.5143091678619385"
"47","1.6428020000457764","1.6428020000457764","1.6428020000457764","1.832885980606079","1.832885980606079","1.832885980606079","1.8110641241073608","1.8110641241073608","1.8110641241073608","1.767228364944458","1.767228364944458","1.767228364944458","1.6059303283691406","1.6059303283691406","1.6059303283691406","1.5288403034210205","1.5288403034210205","1.5288403034210205"
"48","1.5612711906433105","1.5612711906433105","1.5612711906433105","1.8002231121063232","1.8002231121063232","1.8002231121063232","1.7097160816192627","1.7097160816192627","1.7097160816192627","1.712235450744629","1.712235450744629","1.712235450744629","1.619921088218689","1.619921088218689","1.619921088218689","1.5669721364974976","1.5669721364974976","1.5669721364974976"
